id,importance
num_meses_var13_corto_ult3,0.00019005768457879888
num_var13,0.00017551579665897704
ind_var19,0.00015728810175199147
ind_var25,0.00015562082970372004
num_var12,0.00015035913462998164
num_var39,0.00014296451980107535
num_var24,0.00014163156406377616
ind_var24,0.00013125843069026642
saldo_var1,0.00012960842732121286
num_op_var40_ult3,0.00012159866305533119
num_var13_corto_0,0.0001159972222490896
num_var20_0,0.00011481002493469314
num_op_var40_efect_ult3,0.00010638813949372275
saldo_var40,0.00010246750709593978
num_op_var40_efect_ult1,9.990927108504814e-05
num_var13_corto,9.572048519326448e-05
saldo_medio_var13_corto_hace3,9.455357874067698e-05
ind_var32_0,9.39592863362399e-05
num_var40,9.324444425111791e-05
ind_var13_largo_0,9.238283196686764e-05
ind_var13_0,8.737969913661003e-05
num_aport_var17_ult1,7.991628911290203e-05
